,Country,Cases
0,Singapore,10.0
1,Singapore,13.0
2,Singapore,16.0
3,Singapore,18.0
4,Singapore,18.0
5,Singapore,18.0
6,Singapore,24.0
7,Singapore,28.0
8,Singapore,30.0
9,Singapore,33.0
10,Singapore,40.0
11,Singapore,43.0
12,Singapore,45.0
13,Singapore,47.0
14,Singapore,50.0
15,Singapore,58.0
16,Singapore,67.0
17,Singapore,72.0
18,Singapore,75.0
19,Singapore,77.0
20,Singapore,81.0
21,Singapore,84.0
22,Singapore,85.0
23,Singapore,86.0
24,Singapore,89.0
25,Singapore,89.0
26,Singapore,90.0
27,Singapore,91.0
28,Singapore,93.0
29,Singapore,96.0
30,Singapore,98.0
31,Singapore,102.0
32,Singapore,106.0
33,Singapore,108.0
34,Singapore,110.0
35,Singapore,112.0
36,Singapore,117.0
37,Singapore,130.0
38,Singapore,138.0
39,Singapore,150.0
40,Singapore,160.0
41,Singapore,166.0
42,Singapore,178.0
43,Singapore,187.0
44,Singapore,200.0
45,Singapore,212.0
46,Singapore,226.0
47,Singapore,243.0
48,Singapore,266.0
49,Singapore,313.0
50,Singapore,345.0
51,Singapore,385.0
52,Singapore,432.0
53,Singapore,455.0
54,Singapore,509.0
55,Singapore,558.0
56,Singapore,631.0
57,Singapore,683.0
58,Singapore,732.0
59,Singapore,802.0
60,Singapore,844.0
61,Singapore,879.0
62,Singapore,926.0
63,Singapore,1000.0
64,Singapore,1049.0
65,Singapore,1114.0
66,Singapore,1189.0
67,Singapore,1309.0
68,Singapore,1375.0
69,Singapore,1481.0
70,Singapore,1623.0
71,Singapore,1910.0
72,Singapore,2108.0
73,Singapore,2299.0
74,Singapore,2532.0
75,Singapore,2918.0
76,Singapore,3252.0
77,Singapore,3699.0
78,Singapore,4427.0
79,Singapore,5050.0
80,Singapore,5992.0
81,Singapore,6588.0
82,Singapore,8014.0
83,Singapore,9125.0
84,Singapore,10141.0
85,Singapore,11178.0
86,Singapore,12075.0
87,Singapore,12693.0
88,Singapore,13624.0
89,Singapore,14423.0
90,Singapore,14951.0
91,Singapore,15641.0
92,Singapore,16169.0
93,Singapore,17101.0
94,Singapore,17548.0
95,Singapore,18205.0
96,Singapore,18778.0
97,Singapore,19410.0
98,Singapore,20198.0
99,Singapore,20939.0
100,Singapore,21707.0
101,Singapore,22460.0
102,Singapore,23336.0
103,Singapore,23787.0
104,Singapore,24671.0
105,Singapore,25346.0
106,Singapore,26098.0
107,Singapore,26891.0
108,Singapore,27356.0
109,Singapore,28038.0
110,Singapore,28343.0
111,Singapore,28794.0
112,Singapore,29364.0
113,Singapore,29812.0
114,Singapore,30426.0
115,Singapore,31068.0
116,Singapore,31616.0
117,Singapore,31960.0
118,Singapore,32343.0
119,Singapore,32876.0
120,Singapore,33249.0
121,Singapore,33860.0
122,Singapore,34366.0
123,Singapore,34884.0
124,Singapore,35292.0
125,Singapore,35836.0
126,Singapore,36405.0
127,Singapore,36922.0
128,Singapore,37183.0
129,Singapore,37527.0
130,Singapore,37910.0
131,Singapore,38296.0
132,Singapore,38514.0
133,Singapore,38965.0
134,Singapore,39387.0
135,Singapore,39850.0
136,Singapore,40197.0
137,Singapore,40604.0
138,Singapore,40818.0
139,Singapore,40969.0
140,Singapore,41216.0
141,Singapore,41473.0
142,Singapore,41615.0
143,Singapore,41833.0
144,Singapore,42095.0
145,Singapore,42313.0
146,Singapore,42432.0
147,Singapore,42623.0
148,Singapore,42736.0
149,Singapore,42955.0
150,Singapore,43246.0
151,Singapore,43459.0
152,Singapore,43661.0
153,Singapore,43907.0
154,Singapore,44122.0
155,Singapore,44310.0
156,Singapore,44479.0
157,Singapore,44664.0
158,Singapore,44800.0
159,Singapore,44983.0
160,Singapore,45140.0
161,Singapore,45297.0
162,Singapore,45422.0
163,Singapore,45612.0
164,Singapore,45782.0
165,Singapore,45960.0
166,Singapore,46282.0
167,Singapore,46629.0
168,Singapore,46878.0
169,Singapore,47126.0
170,Singapore,47453.0
171,Singapore,47655.0
172,Singapore,47912.0
173,Singapore,48035.0
174,Singapore,48434.0
175,Singapore,48744.0
176,Singapore,49098.0
177,Singapore,49375.0
178,Singapore,49888.0
179,Singapore,50369.0
180,Singapore,50838.0
181,Singapore,51197.0
182,Singapore,51531.0
183,Singapore,51809.0
184,Singapore,52205.0
185,Singapore,52512.0
186,Singapore,52825.0
187,Singapore,53051.0
188,Singapore,53346.0
189,Singapore,54254.0
190,Singapore,54555.0
191,Singapore,54797.0
192,Singapore,54929.0
193,Singapore,55104.0
194,Singapore,55292.0
195,Singapore,55353.0
196,Singapore,55395.0
197,Singapore,55497.0
198,Singapore,55580.0
199,Singapore,55661.0
200,Singapore,55747.0
201,Singapore,55838.0
202,Singapore,55938.0
203,Singapore,56031.0
204,Singapore,56099.0
205,Singapore,56216.0
206,Singapore,56266.0
207,Singapore,56353.0
208,Singapore,56404.0
209,Singapore,56435.0
210,Singapore,56495.0
211,Singapore,56572.0
212,Singapore,56666.0
213,Singapore,56717.0
214,Singapore,56771.0
215,Singapore,56812.0
216,Singapore,56852.0
217,Singapore,56860.0
218,Singapore,56908.0
219,Singapore,56948.0
220,Singapore,56982.0
221,Singapore,57022.0
222,Singapore,57044.0
223,Singapore,57091.0
224,Singapore,57166.0
225,Singapore,57229.0
226,Singapore,57315.0
227,Singapore,57357.0
228,Singapore,57406.0
229,Singapore,57454.0
230,Singapore,57488.0
231,Singapore,57514.0
