,Country,Summation,Values
total_cases,Australia,total_cases,2936762.897637795
total_deaths,Australia,total_deaths,5122.086614173229
total_vaccinations,Australia,total_vaccinations,49004941.216535434
icu_patients,Australia,icu_patients,177.21653543307087
hosp_patients,Australia,hosp_patients,2333.082677165354
total_tests,Australia,total_tests,59494981.35826772
total_boosters,Australia,total_boosters,8054621.271653543
male_smokers,Australia,male_smokers,16.5
female_smokers,Australia,female_smokers,13.0
diabetes_prevalence,Australia,diabetes_prevalence,5.07
total_cases,Austria,total_cases,1538288.2739726028
total_deaths,Austria,total_deaths,14719.506849315068
total_vaccinations,Austria,total_vaccinations,11245106.90410959
icu_patients,Austria,icu_patients,239.8904109589041
hosp_patients,Austria,hosp_patients,1354.2739726027398
total_tests,Austria,total_tests,96122868.89041096
total_boosters,Austria,total_boosters,1964939.4246575343
male_smokers,Austria,male_smokers,30.9
female_smokers,Austria,female_smokers,28.4
diabetes_prevalence,Austria,diabetes_prevalence,6.35
total_cases,Belgium,total_cases,2775305.647887324
total_deaths,Belgium,total_deaths,28922.950704225354
total_vaccinations,Belgium,total_vaccinations,22206149.443661973
icu_patients,Belgium,icu_patients,312.61267605633805
hosp_patients,Belgium,hosp_patients,2156.8978873239435
total_tests,Belgium,total_tests,28382826.757042255
total_boosters,Belgium,total_boosters,4705042.711267605
male_smokers,Belgium,male_smokers,31.400000000000002
female_smokers,Belgium,female_smokers,25.1
diabetes_prevalence,Belgium,diabetes_prevalence,4.29
total_cases,Bulgaria,total_cases,941422.1666666666
total_deaths,Bulgaria,total_deaths,33502.333333333336
total_vaccinations,Bulgaria,total_vaccinations,4069208.0833333335
icu_patients,Bulgaria,icu_patients,441.1666666666667
hosp_patients,Bulgaria,hosp_patients,4114.416666666667
total_tests,Bulgaria,total_tests,8498100.833333334
total_boosters,Bulgaria,total_boosters,536157.0
male_smokers,Bulgaria,male_smokers,44.4
female_smokers,Bulgaria,female_smokers,30.100000000000005
diabetes_prevalence,Bulgaria,diabetes_prevalence,5.81
total_cases,Canada,total_cases,2044261.4698544699
total_deaths,Canada,total_deaths,29403.972972972973
total_vaccinations,Canada,total_vaccinations,51623483.47817048
icu_patients,Canada,icu_patients,604.4844074844075
hosp_patients,Canada,hosp_patients,3470.5135135135133
total_tests,Canada,total_tests,44684736.04365905
total_boosters,Canada,total_boosters,6070158.985446986
male_smokers,Canada,male_smokers,16.6
female_smokers,Canada,female_smokers,12.0
diabetes_prevalence,Canada,diabetes_prevalence,7.37
total_cases,Cyprus,total_cases,190623.3606557377
total_deaths,Cyprus,total_deaths,672.672131147541
total_vaccinations,Cyprus,total_vaccinations,1473196.0163934426
icu_patients,Cyprus,icu_patients,19.524590163934427
hosp_patients,Cyprus,hosp_patients,145.13114754098362
total_tests,Cyprus,total_tests,19054952.967213117
total_boosters,Cyprus,total_boosters,229995.81967213115
male_smokers,Cyprus,male_smokers,52.7
female_smokers,Cyprus,female_smokers,19.6
diabetes_prevalence,Cyprus,diabetes_prevalence,9.24
total_cases,Czechia,total_cases,2689613.6768447836
total_deaths,Czechia,total_deaths,34791.43765903308
total_vaccinations,Czechia,total_vaccinations,13828078.180661578
icu_patients,Czechia,icu_patients,220.9770992366412
hosp_patients,Czechia,hosp_patients,1612.4249363867684
total_tests,Czechia,total_tests,44022300.183206104
total_boosters,Czechia,total_boosters,1921571.5368956742
male_smokers,Czechia,male_smokers,38.3
female_smokers,Czechia,female_smokers,30.5
diabetes_prevalence,Czechia,diabetes_prevalence,6.82
total_cases,Denmark,total_cases,1148896.6536082474
total_deaths,Denmark,total_deaths,3527.9752577319587
total_vaccinations,Denmark,total_vaccinations,8439780.111340206
icu_patients,Denmark,icu_patients,29.544329896907218
hosp_patients,Denmark,hosp_patients,440.49484536082474
total_tests,Denmark,total_tests,45312221.715463914
total_boosters,Denmark,total_boosters,1396201.311340206
male_smokers,Denmark,male_smokers,18.8
female_smokers,Denmark,female_smokers,19.3
diabetes_prevalence,Denmark,diabetes_prevalence,6.41
total_cases,Estonia,total_cases,252760.2027027027
total_deaths,Estonia,total_deaths,1567.554054054054
total_vaccinations,Estonia,total_vaccinations,1240707.1216216215
icu_patients,Estonia,icu_patients,23.66216216216216
hosp_patients,Estonia,hosp_patients,299.5405405405405
total_tests,Estonia,total_tests,2092920.4864864864
total_boosters,Estonia,total_boosters,182835.8108108108
male_smokers,Estonia,male_smokers,39.3
female_smokers,Estonia,female_smokers,24.5
diabetes_prevalence,Estonia,diabetes_prevalence,4.02
total_cases,Finland,total_cases,534849.6705882353
total_deaths,Finland,total_deaths,2478.9529411764706
total_vaccinations,Finland,total_vaccinations,10563043.11764706
icu_patients,Finland,icu_patients,38.858823529411765
hosp_patients,Finland,hosp_patients,580.3294117647059
total_tests,Finland,total_tests,9386644.435294118
total_boosters,Finland,total_boosters,2035710.4352941175
male_smokers,Finland,male_smokers,22.6
female_smokers,Finland,female_smokers,18.3
diabetes_prevalence,Finland,diabetes_prevalence,5.76
