,location,total_cases,total_deaths,total_vaccinations,total_tests
0,Albania,62378.0,1230.0,0.0,276420.0
1,Albania,63595.0,1241.0,128.0,281722.0
2,Albania,63971.0,1247.0,188.0,285029.0
3,Albania,64627.0,1252.0,266.0,288724.0
4,Albania,65334.0,1256.0,308.0,292254.0
5,Albania,65994.0,1261.0,369.0,295283.0
6,Albania,66635.0,1265.0,405.0,297804.0
7,Albania,67216.0,1270.0,447.0,300147.0
8,Albania,67690.0,1277.0,483.0,302657.0
9,Albania,67982.0,1281.0,519.0,305988.0
10,Albania,68568.0,1287.0,549.0,309076.0
11,Albania,78127.0,1380.0,550.0,349925.0
12,Albania,85336.0,1460.0,1127.0,374604.0
13,Albania,93850.0,1567.0,1701.0,402383.0
14,Albania,94651.0,1582.0,3049.0,406318.0
15,Albania,95726.0,1600.0,4177.0,410166.0
16,Albania,99062.0,1653.0,6728.0,421412.0
17,Albania,102306.0,1696.0,10135.0,432998.0
18,Albania,106215.0,1775.0,14295.0,447163.0
19,Albania,107931.0,1816.0,15793.0,453681.0
20,Albania,113580.0,1956.0,21613.0,475740.0
21,Albania,114840.0,1986.0,23635.0,482157.0
22,Albania,118017.0,2060.0,33369.0,497742.0
23,Albania,120541.0,2133.0,48229.0,512453.0
24,Albania,121200.0,2137.0,51690.0,514627.0
25,Albania,121544.0,2145.0,53992.0,517102.0
26,Albania,121847.0,2156.0,59348.0,519896.0
27,Albania,122295.0,2171.0,62248.0,522908.0
28,Albania,122767.0,2184.0,64075.0,525978.0
29,Albania,123216.0,2192.0,78000.0,528971.0
30,Albania,124134.0,2210.0,119321.0,533594.0
31,Albania,124419.0,2216.0,138846.0,536585.0
32,Albania,124723.0,2227.0,155463.0,539484.0
33,Albania,125157.0,2235.0,172486.0,542349.0
34,Albania,125506.0,2241.0,185496.0,545356.0
35,Albania,125842.0,2247.0,192882.0,548412.0
36,Albania,126183.0,2256.0,206708.0,550504.0
37,Albania,126531.0,2265.0,221588.0,552838.0
38,Albania,126795.0,2274.0,232379.0,555376.0
39,Albania,126936.0,2283.0,242542.0,558400.0
40,Albania,127192.0,2291.0,250676.0,561366.0
41,Albania,127509.0,2297.0,256810.0,564708.0
42,Albania,128155.0,2310.0,267531.0,569375.0
43,Albania,128393.0,2317.0,281216.0,572237.0
44,Albania,128752.0,2326.0,304488.0,577455.0
45,Albania,128959.0,2331.0,314622.0,580107.0
46,Albania,129128.0,2335.0,324840.0,582993.0
47,Albania,129307.0,2337.0,332905.0,585473.0
48,Albania,129456.0,2340.0,345934.0,587340.0
49,Albania,129594.0,2342.0,350000.0,590348.0
50,Albania,129694.0,2347.0,372075.0,592932.0
51,Albania,129842.0,2353.0,382998.0,595449.0
52,Albania,129980.0,2358.0,391351.0,598528.0
53,Albania,130114.0,2364.0,400064.0,601985.0
54,Albania,130409.0,2372.0,408619.0,605768.0
55,Albania,130537.0,2378.0,416855.0,608607.0
56,Albania,130606.0,2379.0,433628.0,610865.0
57,Albania,130736.0,2383.0,453248.0,612944.0
58,Albania,130859.0,2386.0,476903.0,615752.0
59,Albania,130977.0,2389.0,494028.0,618714.0
60,Albania,131185.0,2396.0,517501.0,622011.0
61,Albania,131238.0,2397.0,537387.0,624006.0
62,Albania,131276.0,2399.0,556584.0,626857.0
63,Albania,131327.0,2402.0,572226.0,629675.0
64,Albania,131419.0,2403.0,585693.0,632403.0
65,Albania,131510.0,2406.0,596766.0,636919.0
66,Albania,131577.0,2408.0,600000.0,638871.0
67,Albania,131666.0,2411.0,612959.0,640315.0
68,Albania,131723.0,2412.0,622507.0,643271.0
69,Albania,131753.0,2416.0,632676.0,645978.0
