,location,total_cases,total_deaths,total_vaccinations,total_tests
13146,Italy,0.05708573208668146,0.1321768251041793,0.028068361387110614,0.012052389993392918
2818,Bolivia,0.002974463352748806,0.011734981354241537,3.239223495361673e-05,8.244052855337453e-05
18532,Mozambique,0.0017786922258467524,0.001929283497159832,0.0029410640396954485,0.00010532353358401235
13073,Italy,0.05348180979481992,0.12876922066105334,0.02394459096186803,0.009217336158490092
14913,Latvia,0.00933229346357946,0.0055549029484787725,0.0008712927927163603,0.0007595741564189893
24896,Switzerland,0.0064927217202424845,0.009564786295516856,0.00024621370966764513,0.0005062856723241014
22938,Slovenia,0.0036242664461197467,0.005021313704682245,0.0006576849331339188,0.00017980280720946652
24875,Switzerland,0.006225275964869968,0.00924722105527228,0.0001260605006532684,0.0004476558675270666
22815,Slovenia,0.0030154570585000503,0.004731622529412116,0.0004066371584884896,0.00014388767663544625
2479,Belgium,0.016170701361546618,0.026080169792875786,0.005353918459013771,0.0023928164611871075
17039,Maldives,0.0009360190326375793,0.0002200060128340159,0.00020096941879716197,0.00014225754850488443
11081,India,0.40680308283473615,0.4711961358581927,0.38746559675280756,0.07024663670935775
20672,Peru,0.02607095145956445,0.199863018880697,0.012165912297201974,0.0021591067710086793
6534,Czechia,0.04796124969535157,0.039622983361174216,0.0053044064105143484,0.005841980587402096
2752,Bhutan,1.106477673858799e-05,0.0,0.0001452870744968379,7.41714811235718e-05
20011,Pakistan,0.01516464064770713,0.02874114749561481,0.04324227925224402,0.0024814817566464987
7820,Ecuador,0.010365898658790488,0.03548766672175113,0.010710226983499821,0.0003060826038333135
20641,Peru,0.025723174485385986,0.1989431747365403,0.010136146467866224,0.0020180799583893187
27319,United Arab Emirates,0.004723543792865219,0.0012792204818629432,0.0018893019118099777,0.0034472074298058076
11483,Indonesia,0.049709660610760875,0.14220451997873607,0.04991345557168863,0.0030966839733329336
16651,Malaysia,0.03086669820637033,0.030232409971747646,0.0162782147713803,0.0041399493717258
21889,Saudi Arabia,0.004460737726252514,0.006497643646007339,0.0004499355821603186,0.0015276484217051957
10410,Guatemala,0.007350535568670383,0.016025596355665105,0.0034262294535573434,0.00035584264487546833
14471,Latvia,0.0005853407847282965,0.0008591185026052296,3.073633893358478e-06,0.00010652757096619963
22939,Slovenia,0.003643917583575859,0.005026291216284825,0.0006587975498192907,0.00018060267700455577
14216,Kosovo,0.001837892305212446,0.002748581906944425,0.00031328764898519174,0.00012048481050325112
2410,Belgium,0.01366732498955982,0.025378340656912073,0.004887514210708753,0.0020070834309296125
8090,Estonia,0.0015101305959623833,0.0012334273751192113,0.00019284810479443254,0.0001515149832106543
2369,Belgium,0.012843797853764553,0.025238970332039843,0.0039030220632615908,0.0017730269857993107
19171,New Zealand,0.00012163032179201553,3.9820092820636365e-05,0.0022532414959967615,0.0005188834588010053
26433,Turkey,0.03515155061745976,0.029823258518015604,0.003956492203199197,0.003941254660143037
178,Albania,0.0020335227262115786,0.0027207078419699796,0.0005422467100239733,0.00012925233852584148
14808,Latvia,0.0030901384284617727,0.004369259684744325,0.0007370179570030615,0.0005890095740165504
29307,Zambia,0.0023951600364320105,0.0035519522796007637,0.00016612500333300205,0.00024055069327121804
26847,Turkey,0.1768427354942451,0.09848902657792094,0.04473802785662516,0.01750614330255506
27939,United Kingdom,0.11309793416272253,0.14301784537459755,0.03280880930622653,0.03595610789276963
14249,Kosovo,0.0018893282471851391,0.002955646389611734,0.0004846100145197689,0.0001410315879614206
27139,Ukraine,0.02753663501181259,0.05458140122924626,0.003460510288674338,0.0013509709673436513
6426,Czechia,0.02805294427542339,0.034767918544018124,0.00442193594091254,0.004985774019948721
25088,Switzerland,0.009317152808360735,0.010494585462878715,0.0029643396050331966,0.0010391618601361058
28985,Uruguay,0.004781028949296906,0.0061342852990190315,0.0021072672170766057,0.00047136142522757977
28896,Uruguay,0.004563409927390516,0.0060247800437622815,0.0019011501281084788,0.00038755677680249874
12930,Italy,0.044394515389853485,0.11409551645664885,0.00423573172121074,0.005811822023151187
5220,Colombia,0.059828117033059756,0.12852532259252697,0.018605972497279057,0.0031119497651249904
12224,Ireland,0.018035116241998696,0.0073846362135870135,0.0033053072300692535,0.0013141811894590986
981,Australia,0.0003739001838033258,0.0009297991673618592,0.0031119161489403476,0.0024953737693522277
25768,Thailand,0.051223925815440864,0.02923392114427019,0.040873588928130776,0.002650689490720823
27590,United Arab Emirates,0.009728804788807183,0.0022080241469042863,0.007072426740614872,0.013259757416953708
15440,Lithuania,0.0030180881731385256,0.004008887844717566,0.000353783926930899,0.00033213090093637713
29180,Vietnam,0.022311722927747912,0.03416364863546497,0.049199782870066246,0.00822184013468327
22902,Slovenia,0.0032443287939049196,0.004799316687207198,0.0005802856564559644,0.00016208498579998044
22399,Serbia,0.007215585229021087,0.005396618079516743,0.0007780111552548716,0.00037804440394901314
3528,Brazil,0.24956859997720562,0.5887788969436089,0.06941745093214977,0.0062191894150210696
7335,Dominican Republic,0.006865094917871695,0.004356318154577618,0.004750106353065513,0.00036551954996902927
11176,India,0.5049368461423179,0.513482087926747,0.5452220858048048,0.08441047100171716
13408,Jamaica,0.0010500966458914717,0.0022607857698916296,0.0002975828463110333,7.036054109850201e-05
1506,Azerbaijan,0.005595147501050127,0.006340354279365825,0.002475351843816736,0.0005199000640073284
24834,Switzerland,0.005064602027877577,0.006989421792342198,2.10888129907088e-07,0.00034184839643745004
5450,Cote d'Ivoire,0.0005535794723067021,0.00029865069615477274,0.00016369433583571087,6.998665352128593e-05
23074,Slovenia,0.010606128822121275,0.0071845402471633155,0.0008985909885320489,0.000485353285994568
18924,Netherlands,0.033208484202993264,0.019821446703792267,0.0074759439061814455,0.0022805275485557365
28969,Uruguay,0.0047199260102373155,0.006111388745647166,0.0020820194235239647,0.0004555678496073654
16756,Malaysia,0.04516983674673669,0.033745537660848285,0.020734211872274512,0.0058887153407185915
14539,Latvia,0.0011403415287816751,0.0018118142233389547,3.1830472607571125e-05,0.00018529379939572787
16686,Malaysia,0.03250105500062072,0.03141705773316158,0.017710579978717268,0.004590970770100318
26175,Trinidad and Tobago,0.001709414037731899,0.003798836855088709,0.0004703059817084847,7.632147035569098e-05
16539,Malaysia,0.015031534437514264,0.010910705432854365,0.007842355971891278,0.0025081062421813305
27925,United Kingdom,0.10698344691780837,0.1406853834376288,0.031156831684608317,0.034560293099034835
25136,Switzerland,0.010122966904536266,0.010759389080135946,0.003335615126738918,0.0012063183677345564
7248,Dominican Republic,0.004162529072495326,0.0040059013377560185,0.003521040029960658,0.0002191630214884418
1402,Azerbaijan,0.003836846413651557,0.004657955357693939,0.0005113331159811995,0.0003622277113320072
5610,Croatia,0.0028676682889406933,0.005529019888145359,7.332604516884383e-05,0.00014847873390435616
28650,United States,0.9619462124758271,0.989639807350391,0.17811573910229528,0.09672989584397786
19924,Pakistan,0.011088257087526884,0.02172882914990075,0.00365576118494889,0.0015163147985082376
3044,Bolivia,0.005956044810278487,0.018791101802058303,0.0022260029912178425,0.0002768406881969667
18481,Morocco,0.01112436443752096,0.014633884111583865,0.01456943824977396,0.0010013801134690407
22719,Slovenia,0.0023382386902799967,0.0042249118482695185,7.789649998424399e-05,0.00010548437578704116
19395,Norway,0.0007548832342450471,0.0005783868482197432,6.460660879767102e-05,0.0003691859273662756
26239,Tunisia,0.0036727658762191412,0.010864912326110632,0.00013116211479586272,0.00014411960631687174
12566,Israel,0.015330659282975922,0.007895328904011676,0.004750959298590928,0.0029081893923908323
15512,Lithuania,0.0032904202842682097,0.004382201214911032,0.0007358786763012646,0.0004403862774843706
12463,Israel,0.009883934838049785,0.006406057432519875,0.0032709624619128765,0.0017926875031833013
3969,Canada,0.009797554404784843,0.021168361343450293,0.00043393353630305834,0.0025489889223335093
19085,New Zealand,2.925940430554425e-05,2.4887558012897727e-05,0.0007261790343262851,0.0002759073258851936
24020,Spain,0.031034243827813234,0.06189137476879459,0.0003912386890030324,0.0030010465699350985
13510,Jamaica,0.0015113521849016754,0.002870033190047366,0.0004229606875437835,0.00010081778128917845
18538,Myanmar,0.001678956536582049,0.003196557951176584,0.0009074552589924395,0.0002818551229517169
20618,Peru,0.02550428689035033,0.1982851477026793,0.008146848434458636,0.001928054992808777
24353,Sri Lanka,0.0010356724995698305,0.0005286117321939478,0.00023770364642544618,0.00024681398850522095
16907,Maldives,0.00027726545107682537,6.47076508335341e-05,7.08641686523279e-05,6.848914966339697e-05
4602,Chile,0.017341946741282886,0.030567894253761507,0.006290752010103238,0.0017137397032249827
6975,Denmark,0.006008631864905513,0.002931754333919352,0.0029860419934018678,0.005288669734139836
